タイトル,URL
"楽しんご“京都遺体発見報道”巡り私見「報道のあり方として一つ気になるのが…」
日刊スポーツ
4/14(火) 7:42",https://news.yahoo.co.jp/articles/48e6ddc15e74ee678a6f0d9974fb8e0e79d9e409
"小栗旬の“激変ぶり”にネット騒然　『豊臣兄弟！』熱演に反響続々
オリコン
4/14(火) 10:20",https://news.yahoo.co.jp/articles/059effbfa4d707c16c1d99c0e624881624d6dfad
"「クルマって何ですか？」→豊田章男トヨタ会長が返した「一言」が深すぎた
ダイヤモンド・オンライン
4/14(火) 11:00",https://news.yahoo.co.jp/articles/07cd3cfbd64cc87010a5baf48027b176eee99901
"「印象悪くするだけ」黒木啓司氏　夫婦ショット削除に続き、再びの“意味深投稿”に厳しい声…1.5億円脱税の妻・宮崎麗果被告は公判中
女性自身
4/14(火) 11:00",https://news.yahoo.co.jp/articles/980b792539a9e2c23921d2a8bd62a73b56e81351
"イラン、昨年1639人の死刑執行…1989年以降最多
朝鮮日報日本語版
4/14(火) 10:43",https://news.yahoo.co.jp/articles/425302392dfed9dc8a415a25679222be9c72dda4
"【続報】死体遺棄事件　逮捕の男（58）「自宅で殺害し夜中に車で運んだ」10代女性が行方不明　大分
TOSテレビ大分
4/14(火) 10:59",https://news.yahoo.co.jp/articles/6190583a8983f4a2ed62e7bd9a7c42d6e1eb430f
"「4着買いました」ユニクロの“1990円半袖セーター”に絶賛の声　「さらっとして着心地が良い」「汗かいても不快感なし」「ユニクロの名品」「会社にも普段使いにも◎」
ねとらぼ
4/14(火) 10:40",https://news.yahoo.co.jp/articles/05e33601b3b4551978693a9f064e65a0a617e0d3
"昨年は打率1割台も復活の兆し　背水の陣からはい上がる「巨人のWBC戦士」は
週刊ベースボールONLINE
4/14(火) 11:00",https://news.yahoo.co.jp/articles/dd2fe269df4b6789a7c6b7d76ff9024378cb75e3
"「もう大丈夫だと思っていた」米解説も落胆　佐々木朗希がぶつかる“自信の壁”「どういうわけか、ブルペンから出てくる時は全くの別人だ」
CoCoKARAnext
4/14(火) 6:33",https://news.yahoo.co.jp/articles/76386c812b9ae033060f34fb7cde7c3db3d21ad2
"『リブート』黒木メイサに関する“新事実”　ネット驚き「すごい裏話…」
オリコン
4/14(火) 8:21",https://news.yahoo.co.jp/articles/b9afe89038989e4cfcd1159473ffe46418fb910c
"『大食い王』に亡くなったレジェンド映る「懐かしい」「一番好きだった」惜しむ声続々
オリコン
4/14(火) 9:20",https://news.yahoo.co.jp/articles/cfc6a9aab9f61a10377bd3f29bb476952be3208a
"「大丈夫か」「ケガだけはやめて」ピッチに座り込み…日本代表戦士の途中交代にネットざわつく「何事もない事を祈る」
SOCCER DIGEST Web
4/14(火) 10:48",https://news.yahoo.co.jp/articles/fd62c57e6e430499e4bf92fa94ca5dae15467326
"元人気セクシー女優が思い「子供が私の元の職業や発言が原因でいじめられたとして…」
日刊スポーツ
4/14(火) 8:41",https://news.yahoo.co.jp/articles/986fc2514b1d1a1f9d9208fa884dcb7e41fd4516
"韓国大統領が人権侵害批判の投稿、イスラエルが反発　SNSで異例の非難の応酬に
CNN.co.jp
4/14(火) 10:30",https://news.yahoo.co.jp/articles/4034f0672cf7fecdf0f0f961741a9de6da300304
"日本人に襲われた子供はPTSD、外出もできない状態に⋯それでもクルド人親子が「引っ越せない」残酷な理由「世界のどこなら安心して暮らせるのでしょうか」
文春オンライン
4/14(火) 6:00",https://news.yahoo.co.jp/articles/339db2cbc5bd80953166667100bcff41180fc83b
"高市首相の「ナフサは足りる」発言は無意味…避けられない「石油ショック」で日本が行き詰まる""最悪のシナリオ""
プレジデントオンライン
4/14(火) 10:40",https://news.yahoo.co.jp/articles/e30197c1d982ffcf06f11bdaa3345389c5121ede
"再燃した大谷翔平の特別扱い論争　「少し酷すぎだ」敵将も苦言…元審判員の“主張”
Full-Count
4/14(火) 5:40",https://news.yahoo.co.jp/articles/5340dac153e052d929f2c245274f336a11bd2aeb
"大山のぶ代さん、三回忌前に巨額遺産問題に結論　個人事務所の株主は大山さんのみ　遺産を受け取れる関係者は誰もおらず、すべて国庫へ
女性セブンプラス
4/14(火) 7:00",https://news.yahoo.co.jp/articles/5bbcb05e76307bdf5fe8c8f22d1af0cee69dd8e4
"小泉今日子や杏の幼少期を演じ“第2の芦田愛菜”と呼ばれた元子役・豊嶋花（19）、　スタイル際立つ最新ショットに反響「大人っぽ過ぎない!?」「スタイル良すぎる」
ABEMA TIMES
4/14(火) 10:48",https://news.yahoo.co.jp/articles/e0619ba2c02f1c808f418954d8e4fffddd604bb6
"【速報】JR京浜東北線が運転見合わせ　全線で
埼玉新聞
4/14(火) 8:57",https://news.yahoo.co.jp/articles/7366080a7876b363d156a50e7e0c34756334ed30
"小学生の息子の胸ぐらつかむ　義父逮捕、児童虐待の疑い　沖縄・那覇署
琉球新報
4/14(火) 10:11",https://news.yahoo.co.jp/articles/9ce81669db4ceea819dfa49b28c6156d02ccecf7
"東京五輪２冠の美しきスイマー　和装姿にファン反響「着物姿が素敵」「何してもお似合い」ひこにゃんと魅惑の２ショも
デイリースポーツ
4/14(火) 10:50",https://news.yahoo.co.jp/articles/fb4754755405cde4853bebc97810f5b90469d862
"「ブランド財布は持たせないでと言いましたよ」無償化で私立のお嬢様高校に入学した娘。学校から受けた注意とは【専門家助言】
FORZA STYLE
4/14(火) 6:36",https://news.yahoo.co.jp/articles/40356a37046cfe57eabb13bbb63ef769a617077a
"日産、9割車種にAI搭載へ
共同通信
4/14(火) 10:22",https://news.yahoo.co.jp/articles/0b9951863f42af24dff4e4199cc90d288f83bb8b
"1

子どもとみられる遺体発見　死後相当な時間か…司法解剖へ　京都男児不明から3週間

日テレNEWS NNN4/14(火)1:33",https://news.yahoo.co.jp/articles/e809cff5c9a06fad5b57c204d9197f0bcc729905
"2

「夫婦なの知って衝撃」13歳上の綾野剛と結婚＆第1子誕生〝雰囲気一変〟31歳女優の姿に驚きの声「全然違う」「久しぶりに見られて嬉しい」

西スポWEB OTTO！4/13(月)23:00",https://news.yahoo.co.jp/articles/0e495a8962f977788c0a30d36435fc5189c29a76
"3

楽しんご“京都遺体発見報道”巡り私見「報道のあり方として一つ気になるのが…」

日刊スポーツ4/14(火)7:42",https://news.yahoo.co.jp/articles/48e6ddc15e74ee678a6f0d9974fb8e0e79d9e409
"4

「即答できない」「間違ったことを言えない」　京都府警、南丹市の遺体発見で慎重な対応

産経新聞4/13(月)21:20",https://news.yahoo.co.jp/articles/08c62eaeae18e2a287236b34369195b05f783e02
"5

南丹市で遺体、遊具で遊ぶのが好きだった不明男児同級生の親は涙「平穏な町で信じられない」「まだ決まったわけでは」…園部小は臨時休校

読売新聞オンライン4/14(火)9:12",https://news.yahoo.co.jp/articles/433402e559141bf782b5b4469212faa25b52c963
"1

高市首相、改憲「1年以内」発言が波紋　自民「追い風」「難しい」

時事通信4/14(火)6:59",https://news.yahoo.co.jp/articles/0810ddb3764c93e36cc5cfd77bc4fdc3ca29ccae
"2

【速報】子供とみられる遺体が発見される　安達結希さん（11）が行方不明になっている京都・南丹市　京都府警「濃紺のフリース・ベージュの長ズボンを身に着け靴をはいていない小柄な遺体があおむけの状態で発見された」

関西テレビ4/13(月)18:49",https://news.yahoo.co.jp/articles/7bc9aa87c355789896b9618a1913cb1a525520fb
"3

「いま襲われている」と通報　複数の男が頭部めった打ち　催涙スプレーも使用か　男性１人がくも膜下出血疑いで入院　強盗殺人未遂事件として捜査

関西テレビ4/14(火)8:32",https://news.yahoo.co.jp/articles/69c6c2156d21bd162d120f57287bb40ae9e14d31
"1

行方不明小6男児と似た服装…京都・南丹市の山中で「子どもとみられる遺体」発見　14日に司法解剖の方針　12日に靴発見も遺体は靴を履かず、死後相当の期間経過【中継】

MBSニュース4/13(月)23:20

1:23",https://news.yahoo.co.jp/articles/02a7414dbbdcf9c6f9da433b55eacf454480a194
"2

トランプ大統領　自身をキリストに似せた画像を投稿　支持基盤の保守派から批判相次ぎ削除

TBS NEWS DIG Powered by JNN4/14(火)4:13

1:10",https://news.yahoo.co.jp/articles/d4ac54a9ab6eb6f4055f10d0f763e930985c8cf0
"3

【最新情報】山林で遺体発見　住民「ただただショック」小6行方不明男児か　小学校は“臨時休校”

読売テレビ4/14(火)9:22

1:13",https://news.yahoo.co.jp/articles/f7a27bd3a752fc6b5279cfd988a14e6f06e30c95
"1

《京都・南丹市で遺体発見》行方不明の小6男児か「毎日の送迎は祖母」住民が語る“家族の姿”

週刊女性PRIME4/13(月)20:00",https://news.yahoo.co.jp/articles/2b2fa44ea6ee2f5c80ab73678ba069d618c2b1dd
"2

《京都小6男児》「ご家族に抱きしめてもらって」近隣住民の悲痛な祈りと、再婚両親の“子育て”事情

週刊女性PRIME4/13(月)15:00",https://news.yahoo.co.jp/articles/f58dbb68386d1c519a3e47a651a5f489706ca34c
"3

巨人をクビになりハローワークへ…？ “元プロ野球選手”が給湯器工場で職場仲間にかけられた“意外な言葉”

文春オンライン4/14(火)6:30",https://news.yahoo.co.jp/articles/8781c393f008447f780f10637b192ec92175d6c2
"4

日ハム“20億円出戻り”の有原、清宮を「おまえ」呼び・ホークス選手からもイジり…新庄監督も誤算か

週刊女性PRIME4/14(火)6:30",https://news.yahoo.co.jp/articles/7bb0f40cfaf773603b49df71eb76ca41f9239e93
"5

アメリカ人の「トランプ離れ」が止まらない…「戦争をしない大統領」を信じた支持者たちが語り始めた後悔

プレジデントオンライン4/14(火)7:15",https://news.yahoo.co.jp/articles/c663804c4da52664906c704cb119f5e6f2cf847e
